Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
28-03-12,Olympic Cards,25,0.00,3.43,1.36,30.00,29.95,28.50,-5,3.82,-87.27
09-03-12,MCX India,663.31,49.12,150.35,24.14,1032.00,1387.00,1297.05,25.68,"1,646.40",59.53
02-11-11,Indo Thai Secu,33.6,0.00,0.02,3.31,74.00,76.00,23.00,-68.92,144.00,94.59
24-10-11,Vaswani Ind,49,0.16,11.29,6.82,49.00,33.45,17.75,-63.78,14.18,-71.06
20-10-11,Ujaas Energy,93,1.03,1.56,2.35,186.00,180.00,31.76,-82.92,3.42,-98.16
19-10-11,Flexituff Ventu,104.63,0.51,1.55,1.55,155.00,155.00,166.40,7.35,20.05,-87.06
19-10-11,Taksheel Solut,82.5,0.24,4.70,6.18,150.00,157.40,58.15,-61.23,3.85,-97.43
17-10-11,Onelife Capital,36.85,1.02,0.93,2.32,110.00,115.00,145.90,32.64,11.82,-89.25
04-10-11,Setubandhan Inf,60,0.31,2.76,4.68,138.00,145.00,22.95,-83.37,1.35,-99.02
26-09-11,PG Electroplast,120.65,0.98,1.84,1.64,210.00,200.00,411.65,96.02,614.80,192.76
16-09-11,SRS,227.5,0.74,5.00,0.29,58.00,55.00,16.83,-70.98,0.19,-99.67
08-09-11,TD Power System,227,6.52,0.32,0.36,256.00,251.60,274.80,7.34,393.85,53.85
05-09-11,Brooks Labs,63,0.00,2.82,3.36,100.00,110.00,50.20,-49.8,104.10,4.10
26-08-11,Tree House,112.06,1.02,1.68,2.76,135.00,132.80,116.55,-13.67,8.53,-93.68
12-08-11,L&T Finance,1245,1.93,6.18,9.61,52.00,53.85,46.46,-10.65,79.40,52.69
04-08-11,Inventure Grow,81.9,0.25,9.49,8.66,117.00,119.00,5.20,-95.56,2.57,-97.80
28-07-11,Bharatiya Glob,55.1,0.00,1.94,5.06,82.00,84.00,30.95,-62.26,3.58,-95.63
13-07-11,Kridhan Infra,34.75,0.03,1.37,4.18,108.00,115.00,13.29,-87.69,6.19,-94.27
07-07-11,Rushil Decor,40.64,0.23,1.35,6.57,72.00,81.25,104.49,45.12,350.45,386.74
07-07-11,Birla Pacific,65.18,1.04,0.17,1.82,10.00,10.10,25.35,153.5,0.28,-97.20
22-06-11,Timbor Home,23.25,0.65,3.22,14.22,63.00,72.00,91.20,44.76,2.21,-96.49
14-06-11,VMS Industries,25.75,0.00,1.11,3.41,40.00,43.95,28.50,-28.75,10.78,-73.05
27-05-11,Dr Datson Labs,120,0.14,2.65,1.84,234.00,218.00,311.25,33.01,6.29,-97.31
23-05-11,Sanghvi Forging,36.9,0.00,1.82,2.93,85.00,88.00,111.75,31.47,16.50,-80.59
13-05-11,Innoventive Ind,219.58,0.85,1.94,1.48,117.00,110.00,93.60,-20,4.20,-96.41
12-05-11,Servalakshmi,60,0.34,4.21,1.90,29.00,30.00,19.00,-34.48,1.33,-95.41
10-05-11,Future Consumer,750,0.26,7.81,0.61,10.00,9.50,8.30,-17,6.93,-30.70
09-05-11,Paramount Print,45.83,0.33,3.28,9.31,35.00,35.00,26.65,-23.86,0.82,-97.66
06-05-11,Muthoot Finance,901.25,25.01,60.94,8.50,175.00,176.45,176.25,0.71,"1,489.70",751.26
08-04-11,Shilpi Cable,55.88,1.04,6.39,5.74,69.00,78.35,23.80,-65.51,1.10,-98.41
30-03-11,PTC India Fin,438.76,2.85,0.22,1.18,28.00,28.00,24.90,-11.07,18.85,-32.68
24-03-11,Lovable Lingeri,93.28,21.87,99.87,20.84,205.00,261.50,249.20,21.56,156.95,-23.44
11-03-11,Sudar Ind,69.98,0.17,4.47,2.27,77.00,74.00,113.10,46.88,1.02,-98.68
11-03-11,Fineotex Chem,30.32,0.00,0.22,4.38,70.00,80.00,14.09,-79.87,112.95,61.36
10-03-11,Acropetal Tech,170,1.12,2.00,1.21,90.00,130.00,98.45,9.39,1.67,-98.14
10-02-11,Omkar Special,79.38,0.82,5.27,9.90,98.00,95.00,46.20,-52.86,37.90,-61.33
20-01-11,C Mahendra Expo,165,1.02,3.92,4.82,110.00,111.00,55.43,-49.61,1.79,-98.37
30-12-10,Punjab & Sind,480,49.80,22.91,8.38,120.00,146.10,127.05,5.87,16.25,-86.46
23-12-10,A2Z Infra Eng,675,0.70,4.25,0.33,400.00,390.00,328.90,-17.78,6.24,-98.44
20-12-10,Claris Life,300,1.31,2.03,1.60,228.00,224.40,205.85,-9.71,396.55,73.93
15-12-10,MOIL,1260,0.00,0.00,0.00,375.00,551.00,233.25,-37.8,170.45,-54.55
06-12-10,RPP Infra Proj,48.75,0.16,7.27,5.60,75.00,75.00,52.00,-30.67,56.80,-24.27
16-11-10,Gravita India,45,6.04,182.52,37.34,125.00,218.75,42.08,-66.34,204.10,63.28
04-11-10,Coal India,15475,24.70,25.40,2.31,245.00,300.00,342.35,39.73,151.15,-38.31
27-10-10,BS Limited,197.36,0.52,3.16,1.04,248.00,251.00,18.93,-92.37,0.33,-99.87
27-10-10,Gyscoal Alloys,54.67,1.54,33.44,8.00,71.00,76.60,8.16,-88.51,2.26,-96.82
27-10-10,Prestige Estate,1200,4.32,0.24,0.08,183.00,190.00,192.55,5.22,452.45,147.24
20-10-10,Oberoi Realty,1028.61,22.15,3.61,0.94,260.00,280.00,282.95,8.83,861.05,231.17
18-10-10,Commercial Eng,172.41,3.68,0.34,0.38,127.00,122.80,112.25,-11.61,36.75,-71.06
14-10-10,Sea TV Network,50.2,1.66,40.94,7.45,100.00,120.00,106.00,6,6.19,-93.81
14-10-10,Ashoka Buildcon,225,25.52,13.91,3.46,324.00,333.55,73.33,-77.37,100.05,-69.12
14-10-10,Bedmutha Ind,91.8,0.67,29.19,8.51,102.00,114.40,180.80,77.25,54.50,-46.57
13-10-10,Va Tech Wabag,472.6,36.13,100.98,8.55,1310.00,1655.00,341.88,-73.9,339.70,-74.07
12-10-10,Cantabil Retail,105,1.71,3.83,2.63,135.00,133.80,104.75,-22.41,679.00,402.96
12-10-10,Tecpro Systems,268.03,27.99,62.48,9.07,355.00,399.40,407.85,14.89,4.53,-98.72
08-10-10,Orient Green,900,2.09,0.64,0.18,47.00,45.70,44.90,-4.47,11.01,-76.57
08-10-10,Electrosteel St,0,5.86,28.58,6.19,11.00,11.15,11.25,2.27,31.05,182.27
08-10-10,Ramky Infra,530,4.52,1.45,0.99,450.00,450.00,387.35,-13.92,175.05,-61.10
